Timestamp;Longitude;Latitude;HorizontalAccuracy;Altitude;VerticalAccuracy;Bearing;BearingAccuracy;Speed;SpeedAccuracy
1649338567000;10,42278808;43,71810903;9,684735298;55,19128418;7,859392166;322,6000061;32,94713974;1,50999999;0,93150413
1649338573000;10,42271511;43,71818341;6,314894676;54,9720459;6,174188614;327,2000122;37,645298;1,330000043;0,977547944
1649338578000;10,42266589;43,71824257;6,549929142;56,68499756;6,529534817;319,1000061;33,70514297;1,559999943;0,999849975
1649338583000;10,42261112;43,71830146;6,868646622;54,50415039;6,844027996;330,5;35,67935944;1,480000019;1,023962855
1649338588000;10,42261556;43,71836647;7,421917915;54,48339844;7,236235142;19,39999962;26,18541145;1,480000019;0,80808413
1649338593000;10,42270947;43,71842826;6,023437977;57,2633667;6,010416985;56,20000076;34,15115738;1,529999971;0,999849975
1649338598000;10,4227913;43,71848053;5,728031635;56,15936279;5,211313725;40,09999847;36,03461456;1,519999981;1,044461608
1649338603000;10,42287881;43,71852317;5,500651836;57,52111816;5,579376698;59,70000076;36,04572678;1,429999948;0,999849975
1649338608000;10,42295672;43,71855538;5,527612209;51,11358643;5,594406128;33,90000153;35,28793716;1,470000029;0,999849975
1649338613000;10,42296666;43,71861626;8,485219002;48,95294189;8,156882286;355,7000122;30,03652191;1,460000038;0,949210227
1649338618000;10,42289883;43,7186669;6,19178915;58,22967529;7,268645287;321,2000122;34,35966492;1,50999999;0,99126184
1649338623000;10,42281661;43,7187119;6,492319584;59,54382324;7,194863796;318,5;26,95849419;1,419999957;0,80808413
1649338628000;10,42272142;43,71873734;6,246664047;53,47888184;7,502586842;292;41,98669434;1,519999981;1,264001608
1649338633000;10,42264114;43,71868001;6,54199791;49,78179932;7,65534544;228,5;26,91565895;1,429999948;0,795110047
1649338638000;10,42257148;43,71862431;7,693838596;47,69720459;8,449978828;235,6999969;35,88884354;1,429999948;0,986154139
1649338643000;10,42248514;43,71854109;6,650138855;58,46276855;7,833487034;231,3000031;27,03321075;1,429999948;0,795110047
1649338648000;10,42237023;43,71851344;7,617753506;59,42669678;7,430751801;275,8999939;34,31791306;2,00999999;1,29375422
1649338654000;10,42223704;43,71853643;7,430038452;54,3223877;7,25985527;318,2000122;26,54815483;1,450000048;0,795110047
1649338659000;10,42214267;43,71860573;6,668295383;49,81970215;7,01975584;321;33,7336235;1,559999943;0,999849975
